Piloto,Títulos,Construtores,Tot. Títulos,Corridas,Pódios,P1,P2,P3,Top 5,Top 10,Poles,Fast Laps,Abandonos,DQ,Estreia,Ultima,Etapas por DNF/DQ,Etapas Por Pódio,Etapas Por Vitória
Marcelo Mattos,0,0,0,3,1,0,0,1,1,2,0,0,1,0,2012/2,2012/2,3,3,N/A
Lucas Primo,0,0,0,3,0,0,0,0,0,0,0,0,2,0,2012/2,2012/2,1.5,N/A,N/A
Gustavo Naris,0,0,0,3,0,0,0,0,0,0,0,0,2,1,2013/1,2013/1,1,N/A,N/A
Tonny Peixoto,0,0,0,3,0,0,0,0,0,0,0,0,3,0,2013/2,2013/2,1,N/A,N/A
Alan Ruggero,0,0,0,3,0,0,0,0,0,1,0,0,1,0,2013/3,2013/3,3,N/A,N/A
Augusto Santos,0,0,0,3,0,0,0,0,0,1,0,0,1,0,2016/2,2016/2,3,N/A,N/A
Rodrigo Araujo,0,0,0,3,0,0,0,0,0,0,0,0,2,0,2016/2,2016/2,1.5,N/A,N/A
Sidney Santos,0,0,0,3,1,0,0,1,1,2,0,0,1,0,2016/3,2016/3,3,3,N/A
Fernando Porteiro,0,0,0,3,0,0,0,0,0,1,0,0,1,0,2017/3,2018/1,3,N/A,N/A
Gustavo Santos,0,0,0,3,0,0,0,0,1,2,0,0,1,0,2018/1,2018/1,3,N/A,N/A
William Fernandes,0,0,0,3,1,0,0,1,1,2,0,1,1,0,2018/3,2018/3,3,3,N/A
Gilberto Zago,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2018/3,2020/3,3,N/A,N/A
Cassius Naves,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2009/1,2009/1,2,N/A,N/A
Rod Moreno,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2011/2,2011/2,2,N/A,N/A
Rodrigo Spinetti,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2012/1,2012/1,2,N/A,N/A
Leonardo Felix,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2012/2,2012/2,2,N/A,N/A
Sergio Raufe,0,0,0,2,0,0,0,0,0,1,0,0,1,0,2012/3,2012/3,2,N/A,N/A
Adriano Lima,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2012/3,2013/2,0,N/A,N/A
Mannie LiuJunior,0,0,0,2,0,0,0,0,0,1,0,0,1,0,2013/1,2013/1,2,N/A,N/A
Alan Akbar,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2013/1,2013/1,2,N/A,N/A
Dionatan Machado,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2013/2,2013/2,0,N/A,N/A
Alvaro Wanderley,0,0,0,2,0,0,0,0,0,0,0,0,1,1,2013/3,2013/3,1,N/A,N/A
Sandro Ferreira,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2013/3,2013/3,1,N/A,N/A
Guilherme Lima,0,0,0,2,0,0,0,0,0,1,0,0,1,0,2014/1,2014/1,2,N/A,N/A
Edjair Lima,0,0,0,2,0,0,0,0,0,0,0,0,1,1,2015/3,2015/3,1,N/A,N/A
Eliam Junior,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2015/3,2015/3,1,N/A,N/A
Italo Silveira,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2016/1,2016/1,0,N/A,N/A
Luccas Monteiro,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2016/1,2016/1,1,N/A,N/A
Keoma Borges,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2017/2,2017/2,0,N/A,N/A
Francisco Pimentel,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2018/1,2018/1,0,N/A,N/A
Vinicius Soares,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2018/1,2018/1,1,N/A,N/A
Rodrigo Sugari,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2020/3,2020/3,2,N/A,N/A
Eduardo Marques,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2009/1,2009/1,0,N/A,N/A
Mike dos Santos,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2009/3,2009/3,0,N/A,N/A
Daltton Lima,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2009/3,2009/3,1,N/A,N/A
Jocimar Santos,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2009/3,2009/3,0,N/A,N/A
Gabriel Bechtold,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2010/1,2010/1,0,N/A,N/A
Victor Berto,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2010/3,2010/3,1,N/A,N/A
Marcelo Kropf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2011/2,2011/2,0,N/A,N/A
Raphael Sanini,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2011/2,2011/2,1,N/A,N/A
Paulo Roberto,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2011/3,2011/3,0,N/A,N/A
Rodrigo Garcia,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2011/3,2011/3,1,N/A,N/A
Felipe Santoro,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2012/2,2012/2,1,N/A,N/A
Lucas Toresan,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2012/2,2012/2,1,N/A,N/A
Alex Reis,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2012/3,2012/3,1,N/A,N/A
Daniel Alves,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2012/3,2012/3,0,N/A,N/A
Demetrio Almeida,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2012/3,2012/3,1,N/A,N/A
Felipe Lapenna,0,0,0,1,1,0,1,0,1,1,0,0,0,0,2013/1,2013/1,0,1,N/A
Tuka Rocha,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2013/1,2013/1,1,N/A,N/A
Marcos Gomes,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2013/2,2013/2,1,N/A,N/A
Rafael Callegari,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2013/2,2013/2,1,N/A,N/A
Joao Vitor,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2013/3,2013/3,1,N/A,N/A
Jose Falcao,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2013/3,2013/3,0,N/A,N/A
Ricardo Jack,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2013/3,2013/3,1,N/A,N/A
Marcos Henrique,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2014/3,2014/3,1,N/A,N/A
Ramon Lema,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2014/3,2014/3,0,N/A,N/A
Klenir Soutto,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2015/1,2015/1,1,N/A,N/A
Ricaro Martins,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2016/3,2016/3,0,N/A,N/A
Daniel Daher,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2018/3,2018/3,1,N/A,N/A
Rodrigo Almeida,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2019/1,2019/1,1,N/A,N/A
Lucas Dornella,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2020/1,2020/1,1,N/A,N/A
