RESUMO,Títulos,Construtores,Participações,Podios,P1,P2,P3,Top 5,Top 10,Poles,Fast Laps,Abandonos,DQ,Campeonatos,Etapas
RacersAv,9,4,437,136,46,55,35,181,258,29,15,60,3,39,127
iRB,0,0,275,29,10,13,6,57,117,3,6,23,1,22,130
Warmup,8,6,187,64,26,19,19,90,144,20,22,12,0,11,66
Campeonatos Classicos,2,0,126,52,19,15,18,81,109,21,21,7,0,6,44
Grid Seven AV,3,1,96,48,14,19,15,58,77,12,14,13,0,8,30
ProRace,2,1,62,22,12,6,4,31,44,16,13,4,0,4,31
VCE,0,0,60,10,4,2,4,18,29,6,2,1,0,8,35
Liga Delux,1,0,50,12,4,5,3,22,31,3,2,4,2,4,24
iRacing,0,0,48,6,4,0,2,13,20,0,0,5,0,12,18
GreenAv,0,0,40,6,0,3,3,19,37,0,0,0,0,2,12
Virtual Cup,0,0,35,13,2,5,6,19,29,0,0,5,0,1,7
Porsche Esports,0,0,28,1,0,0,1,2,5,0,0,0,0,1,5
TopGun AV,0,1,17,9,4,3,2,11,17,3,2,0,0,2,12
Guerreiros do AV,1,0,16,4,1,2,1,8,11,0,0,0,0,1,4
Raceroomers,0,0,16,1,0,0,1,5,8,1,0,0,0,1,5
BRL,0,0,14,0,0,0,0,1,7,0,0,1,0,2,7
Copa Sul,0,0,11,2,0,1,1,4,9,0,0,0,0,1,4
ADG,0,0,10,0,0,0,0,1,6,0,0,2,0,1,5
Vorc Series,0,0,8,1,0,0,1,3,5,0,0,2,0,1,4
Motor eSports,0,0,7,3,0,3,0,3,3,0,0,4,0,1,1
OKBR,0,0,7,1,1,0,0,3,4,0,0,1,0,2,7
Clube do Volante,0,0,6,2,0,1,1,4,6,0,1,0,0,1,6
OnlineSimRacing,0,0,6,0,0,0,0,0,1,0,0,0,1,1,1
Mundo AV,0,0,5,4,2,1,1,5,5,0,0,0,0,1,5
LPVW,0,0,4,0,0,0,0,1,2,0,0,0,0,1,1
Liga ZGT,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1
The Racers E-Sports,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
Total,96,68,9162,1722,578,584,560,2719,4864,491,505,1821,119,558,3078
